wavelength_nm,flux,flux_db
1497781429.7452753,0.32810938,-4.839813
1497102382.4855118,0.35036328,-4.5548143
1496423950.6643112,0.37764174,-4.2292004
1495746133.4453692,0.4073104,-3.900745
1495068929.9938974,0.4366098,-3.5990653
1494392339.4766183,0.46343923,-3.3400722
1493716361.0617611,0.48668146,-3.127552
1493040993.9190607,0.50603724,-2.9581752
1492366237.2197516,0.5217097,-2.825711
1491692090.1365666,0.53418934,-2.7230477
1491018551.8437326,0.5440683,-2.643466
1490345621.516967,0.55188966,-2.5814774
1489673298.333475,0.55805093,-2.5332618
1489001581.4719453,0.56283367,-2.4961994
1488330470.1125474,0.5664929,-2.4680552
1487659963.4369285,0.5693226,-2.446416
1486990060.62821,0.5716093,-2.429007
1486320760.8709831,0.57356656,-2.414162
1485652063.3513074,0.5753848,-2.4004161
1484983967.2567065,0.5774137,-2.3851295
1484316471.7761636,0.5802574,-2.363793
1483649576.1001213,0.5845659,-2.3316655
1482983279.4204748,0.5905787,-2.2872224
1482317580.9305716,0.5977962,-2.2344685
1481652479.825206,0.60508865,-2.18181
1480987975.3006175,0.6112787,-2.1376073
1480324066.5544863,0.61574876,-2.1059647
1479660752.7859313,0.61865246,-2.0855327
1478998033.1955054,0.62059414,-2.0719233
1478335906.9851937,0.62211716,-2.0612783
1477674373.3584096,0.6234185,-2.0522032
1477013431.5199919,0.62444925,-2.0450284
1476353080.6762002,0.62517256,-2.040001
1475693320.0347147,0.62571007,-2.0362685
1475034148.80463,0.6262524,-2.032506
1474375566.196454,0.6268911,-2.0280793
1473717571.4221036,0.6275846,-2.0232775
1473060163.6949017,0.62826777,-2.0185523
1472403342.2295747,0.62897295,-2.0136805
1471747106.2422488,0.6298295,-2.0077698
1471091454.950447,0.6309576,-1.9999982
1470436387.5730863,0.632388,-1.9901638
1469781903.3304734,0.63408905,-1.9784975
1469128001.444304,0.6360445,-1.9651248
1468474681.137657,0.6382971,-1.9497714
1467821941.6349933,0.6408992,-1.9321029
1467169782.1621516,0.6438381,-1.9122332
1466518201.9463468,0.6470294,-1.89076
1465867200.2161648,0.6503641,-1.8684344
1465216776.2015612,0.65377235,-1.8457344
1464566929.1338582,0.6572118,-1.8229467
1463917658.2457402,0.66063446,-1.8003879
1463268962.7712522,0.66395384,-1.7786211
1462620841.945796,0.6670624,-1.7583354
1461973295.0061276,0.6698791,-1.7400359
1461326321.190354,0.672364,-1.7239556
1460679919.7379303,0.6744896,-1.7102473
1460034089.8896565,0.67621833,-1.6991305
1459388830.8876748,0.6774953,-1.6909372
1458744141.9754667,0.67826813,-1.6859859
1458100022.3978498,0.67851317,-1.6844171
1457456471.4009748,0.6782226,-1.6862774
1456813488.232323,0.677392,-1.6915994
1456171072.1407025,0.6760068,-1.7004894
1455529222.3762465,0.67405367,-1.7130553
1454887938.1904092,0.671533,-1.7293265
1454247218.835964,0.6684584,-1.7492561
1453607063.5669992,0.66485554,-1.772727
1452967471.6389167,0.660757,-1.7995822
1452328442.3084278,0.6562048,-1.8296058
1451689974.833551,0.6512572,-1.8624746
1451052068.4736092,0.6459915,-1.8977319
1450414722.489226,0.64050597,-1.9347681
1449777936.1423244,0.6349269,-1.9727626
1449141708.6961222,0.62941647,-2.0106192
1448506039.4151304,0.6241786,-2.0469112
1447870927.5651493,0.6194505,-2.079934
1447236372.4132674,0.6155043,-2.107689
1446602373.2278564,0.61263245,-2.128
1445968929.2785702,0.6111458,-2.1385517
1445336039.8363414,0.61134905,-2.1371076
1444703704.1733773,0.6134843,-2.1219654
1444071921.5631597,0.6176748,-2.092401
1443440691.2804399,0.62388587,-2.0489485
1442810012.6012373,0.6319118,-1.9934354
1442179884.8028355,0.6413885,-1.9287884
1441550307.1637805,0.6518343,-1.8586278
1440921278.9638772,0.6626959,-1.7868572
1440292799.4841874,0.6734143,-1.7171767
1439664868.0070262,0.6835106,-1.6525474
1439037483.8159597,0.69264585,-1.5948877
1438410646.1958032,0.7006171,-1.545193
1437784354.4326162,0.70734674,-1.5036764
1437158607.8137023,0.71282786,-1.4701533
1436533405.6276047,0.71711427,-1.4441164
1435908747.164104,0.72031415,-1.4247806
1435284631.7142155,0.7225792,-1.4111457
1434661058.5701873,0.7240674,-1.4022101
1434038027.025496,0.72491306,-1.3971407
1433415536.3748457,0.7252147,-1.3953339
1432793585.9141643,0.72506523,-1.3962293
1432172174.940601,0.72456574,-1.399222
1431551302.752524,0.72382164,-1.4036844
1430930968.6495175,0.7229136,-1.4091359
1430311171.9323792,0.72187656,-1.4153706
1429691911.9031186,0.7207273,-1.4222901
1429073187.8649514,0.7194916,-1.4297427
1428454999.122301,0.7182218,-1.4374143
1427837344.980793,0.7169578,-1.445064
1427220224.7472532,0.71570927,-1.4526336
1426603637.729706,0.7144511,-1.460275
1425987583.2373703,0.7131634,-1.4681096
1425372060.5806584,0.71185446,-1.4760878
1424757069.0711722,0.7105491,-1.484059
1424142608.021701,0.7092499,-1.492007
1423528676.74622,0.7079218,-1.5001471
1422915274.559886,0.706523,-1.5087368
1422302400.7790358,0.7050383,-1.5178728
1421690054.7211843,0.703485,-1.5274515
1421078235.7050195,0.7018807,-1.5373671
1420466943.0504036,0.70021313,-1.5476975
1419856176.078368,0.6984527,-1.5586299
1419245934.1111104,0.6965903,-1.5702258
1418636216.4719946,0.69465667,-1.5822978
1418027022.4855459,0.69270533,-1.5945147
1417418351.4774494,0.6907674,-1.6066816
1416810202.7745478,0.68885106,-1.6187466
1416202575.704838,0.68696094,-1.6306795
1415595469.59747,0.68514115,-1.6421995
1414988883.7827432,0.6834561,-1.6528935
1414382817.592104,0.6819526,-1.6624582
1413777270.3581445,0.6806421,-1.6708118
1413172241.414599,0.6795145,-1.6780126
1412567730.0963411,0.67857677,-1.6840101
1411963735.739383,0.6778641,-1.6885738
1411360257.6808722,0.67740315,-1.6915278
1410757295.2590876,0.6771815,-1.6929493
1410154847.8134398,0.6771605,-1.6930838
1409552914.6844668,0.6773183,-1.692072
1408951495.2138317,0.67766005,-1.6898812
1408350588.7443213,0.6782117,-1.6863472
1407750194.6198425,0.6789694,-1.6814982
1407150312.1854215,0.67990124,-1.6755416
1406550940.7871995,0.68098414,-1.6686301
1405952079.7724314,0.68223923,-1.6606331
1405353728.4894836,0.68372095,-1.651211
1404755886.2878315,0.68546826,-1.6401266
1404158552.5180564,0.6874906,-1.6273324
1403561726.5318441,0.68979603,-1.6127931
1402965407.6819823,0.6924359,-1.596204
1402369595.3223572,0.6954945,-1.5770632
1401774288.8079534,0.6990339,-1.5550175
1401179487.4948494,0.70304495,-1.5301691
1400585190.7402172,0.707464,-1.5029566
1399991397.902317,0.71220624,-1.4739423
1399398108.3404987,0.71715057,-1.4438965
1398805321.4151967,0.7220518,-1.4143164
1398213036.4879296,0.7264684,-1.3878328
1397621252.9212952,0.7297563,-1.3682215
1397029970.0789719,0.73111635,-1.3601351
1396439187.3257132,0.72958916,-1.3692163
1395848904.027347,0.7240082,-1.4025651
1395259119.5507736,0.71310216,-1.4684825
1394669833.263962,0.695969,-1.5741012
1394081044.5359485,0.6728292,-1.7209517
1393492752.7368357,0.64562494,-1.9001971
1392904957.2377872,0.6178792,-2.090964
1392317657.4110286,0.5936816,-2.2644644
1391730852.6298428,0.57620883,-2.3942008
1391144542.26857,0.56671387,-2.4663615
1390558725.7026029,0.56447715,-2.4835362
1389973402.3083868,0.56760824,-2.4595132
1389388571.463416,0.5740689,-2.4103599
1388804232.5462325,0.5822879,-2.3486223
1388220384.9364226,0.5912155,-2.282542
1387637028.0146163,0.60013497,-2.2175107
1387054161.1624835,0.6085326,-2.1571615
1386471783.7627327,0.616106,-2.1034458
1385889895.1991096,0.6227865,-2.056608
1385308494.8563926,0.62862855,-2.016059
1384727582.1203926,0.6336663,-1.981394
1384147156.377951,0.63786596,-1.9527056
1383567217.0169356,0.6411982,-1.930077
1382987763.4262407,0.64372134,-1.9130208
1382408794.9957833,0.64555246,-1.9006847
